Julio Larraz,Discovery,37500,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F8%2F1%2F2%2F4%2F18124035%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Discovery
Alec Monopoly,Scrooge McDuck,36250,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F2%2F4%2F0%2F2%2F22402400%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,ScroogeMcDuck
Jason Martin,Boboli,30000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F6%2F0%2F2%2F9%2F16029475%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Boboli
Edwin Howland,Blashfield,19120,https://dyn1.heritagestatic.com/lf?set=path%5B5%2F4%2F2%2F6%2F5426617%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Blashfield
Jerkface,You Know What Time it is ,18750,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F3%2F5%2F0%2F5%2F23505857%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,YouKnowWhatTimeitis
Josh Sperling,Untitled,18750,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F1%2F0%2F9%2F7%2F21097913%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Untitled
Noel Mahaffey ,Untitled,15000,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F0%2F7%2F5%2F2%2F20752950%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Untitled
Mel Bochner,Torque,15000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F9%2F4%2F1%2F2%2F19412643%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Torque
Peter Max,Woodstock Cosmic Dancer,15000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F5%2F7%2F3%2F7%2F15737103%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,WoodstockCosmicDancer
Chesley Bonestell,Saturn from Titan,15000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F1%2F7%2F8%2F6%2F11786321%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,SaturnfromTitan
Peter Max,Statue of Liberty Head,10625,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F6%2F2%2F0%2F13620937%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,StatueofLibertyHead
Mary Sims,Red Dog,500,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F0%2F8%2F7%2F4%2F20874458%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,RedDog
Chris RWK,You Got the Chops?,575,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F2%2F8%2F4%2F1%2F22841777%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,YouGottheChops?
Tom Slaughter ,Boat,625,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F8%2F0%2F6%2F6%2F18066668%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Boat
Henry Rankin Poore ,Groton Long Point Dunes,625,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F1%2F1%2F2%2F6%2F11126267%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,GrotonLongPointDunes
Rick Griffin ,Murphy,657,https://dyn1.heritagestatic.com/lf?set=path%5B5%2F7%2F8%2F2%2F5782942%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Murphy
Ralph White,Rising Orb,657,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F1%2F0%2F6%2F1106751%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,RisingOrb
James Marsh ,Hot Stuff,717,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F6%2F5%2F2%2F1652187%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,HotStuff
Roy Lichenstein,Water Lilies with Cloud,380000,https://p1.liveauctioneers.com/6523/234358/121353650_1_x.jpg?height=310&quality=70&version=1642781230,WaterLilieswithCloud
Leonardo da Vinci,Salvator,475000000,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Leonardo_da_Vinci%2C_Salvator_Mundi%2C_c.1500%2C_oil_on_walnut%2C_45.4_%C3%97_65.6_cm.jpg/190px-Leonardo_da_Vinci%2C_Salvator_Mundi%2C_c.1500%2C_oil_on_walnut%2C_45.4_%C3%97_65.6_cm.jpg,Salvator
Paul Cézanne,The Card Players,288000000,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Les_Joueurs_de_cartes%2C_par_Paul_C%C3%A9zanne%2C_collection_Al-Thani%2C_Yorck.jpg/190px-Les_Joueurs_de_cartes%2C_par_Paul_C%C3%A9zanne%2C_collection_Al-Thani%2C_Yorck.jpg,TheCardPlayers
